Player,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Pedro Porro,es ESP,DF,25.57,38.3,6,0,0,31,40,1,223,48,65,0,0,0,191,15,29,34.1
Dejan Kulusevski,se SWE,"MF,FW",24.96,33.9,5,0,0,57,45,5,117,18,29,0,0,0,132,9,14,39.1
Son Heung-min,kr KOR,FW,32.76,33.0,1,0,0,8,36,16,113,6,13,1,0,0,100,6,15,28.6
Archie Gray,eng ENG,"DF,MF",19.08,30.6,1,0,0,17,19,0,17,26,22,0,0,1,99,16,17,48.5
Dominic Solanke,eng ENG,FW,27.57,30.1,0,0,0,49,48,10,5,4,17,0,0,1,45,46,64,41.8
Brennan Johnson,wls WAL,FW,23.88,29.0,5,0,0,28,26,10,64,5,29,2,0,0,64,9,22,29.0
James Maddison,eng ENG,MF,28.38,26.6,8,0,0,38,83,4,116,17,23,0,0,0,96,5,9,35.7
Pape Matar Sarr,sn SEN,MF,22.57,25.9,8,0,0,40,35,2,15,29,43,1,1,0,132,30,35,46.2
Rodrigo Bentancur,uy URU,MF,27.79,25.2,11,0,0,37,13,1,6,51,35,0,0,0,162,38,25,60.3
Destiny Udogie,it ITA,DF,22.36,24.4,2,0,0,31,42,2,20,27,54,0,0,0,130,15,13,53.6
Radu Drăgușin,ro ROU,DF,23.18,24.2,4,1,0,16,15,0,1,25,11,0,0,0,68,42,26,61.8
Guglielmo Vicario,it ITA,GK,28.51,24.0,1,0,0,0,2,0,0,2,1,0,0,0,33,13,0,100.0
Lucas Bergvall,se SWE,MF,19.18,22.5,8,0,0,40,22,0,32,35,39,1,0,1,106,13,14,48.1
Yves Bissouma,ml MLI,MF,28.61,22.1,10,0,0,28,30,0,3,32,51,0,2,0,117,8,9,47.1
Djed Spence,eng ENG,DF,24.67,20.6,4,1,1,27,40,2,20,24,36,0,0,0,88,20,14,58.8
Ben Davies,wls WAL,DF,31.96,18.4,2,0,0,13,6,0,5,16,12,0,0,0,51,49,43,53.3
Cristian Romero,ar ARG,DF,26.95,16.8,2,0,0,15,11,2,3,21,30,0,0,0,89,45,28,61.6
Fraser Forster,eng ENG,GK,37.07,13.0,0,0,0,0,0,0,0,0,1,0,0,0,7,1,0,100.0
Micky van de Ven,nl NED,DF,23.97,12.4,4,0,0,12,7,0,0,10,9,0,0,0,74,26,16,61.9
Timo Werner,de GER,"FW,MF",29.10,10.6,0,0,0,4,7,8,45,2,4,0,0,0,21,0,2,0.0
Antonín Kinský,cz CZE,GK,22.08,8.3,0,0,0,1,2,0,0,0,2,0,0,0,4,2,0,100.0
Mikey Moore,eng ENG,"FW,MF",17.66,7.1,0,0,0,7,13,4,30,1,3,0,0,0,10,2,5,28.6
Kevin Danso,at AUT,DF,26.56,6.9,0,0,0,9,6,0,2,4,5,0,0,0,13,13,6,68.4
Wilson Odobert,fr FRA,FW,20.36,6.6,0,0,0,0,3,1,14,4,3,0,0,0,33,4,5,44.4
Richarlison,br BRA,FW,27.92,6.0,1,0,0,6,13,4,9,1,6,0,0,0,20,10,21,32.3
Mathys Tel,fr FRA,FW,19.95,5.5,0,0,0,6,5,1,7,0,1,0,0,0,16,1,2,33.3
Brandon Austin,eng ENG,GK,26.25,3.0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,0,100.0
Sergio Reguilón,es ESP,DF,28.31,2.7,2,0,0,3,6,0,16,4,5,0,0,0,9,5,2,71.4
Will Lankshear,eng ENG,"FW,MF",19.97,1.6,2,1,1,10,0,1,1,1,0,0,0,0,4,2,0,100.0
Dane Scarlett,eng ENG,"FW,MF",21.05,0.7,0,0,0,0,2,1,0,0,1,0,0,0,4,2,1,66.7
Alfie Dorrington,eng ENG,DF,19.97,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,NULL
Oyindamola Ajayi,eng ENG,FW,19.28,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NULL
Callum Olusesi,eng ENG,MF,18.23,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL
