Player,Nation,Pos,Age,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
Pedro Porro,es ESP,DF,25.57,38.3,2276,1881,387,61,7,17,223,273,53,4,43,0,1704,8,75
Dejan Kulusevski,se SWE,"MF,FW",24.96,33.9,993,898,89,4,14,1,117,6,70,30,1,0,731,6,50
Son Heung-min,kr KOR,FW,32.76,33.0,1163,1072,89,14,6,3,113,16,51,32,7,0,912,2,36
Archie Gray,eng ENG,"DF,MF",19.08,30.6,1490,1374,114,40,0,2,17,62,2,0,2,0,1328,2,19
Dominic Solanke,eng ENG,FW,27.57,30.1,411,363,45,1,4,1,5,3,0,0,0,0,297,3,17
Brennan Johnson,wls WAL,FW,23.88,29.0,684,668,11,0,1,0,64,10,1,0,0,0,485,5,39
James Maddison,eng ENG,MF,28.38,26.6,1494,1332,155,59,13,5,116,8,69,44,8,0,1216,7,21
Pape Matar Sarr,sn SEN,MF,22.57,25.9,1179,1153,22,8,0,5,15,12,0,0,0,0,1032,4,24
Rodrigo Bentancur,uy URU,MF,27.79,25.2,1349,1297,48,40,6,1,6,4,0,0,0,0,1197,4,19
Destiny Udogie,it ITA,DF,22.36,24.4,1259,1080,178,34,0,0,20,144,0,0,0,0,1110,1,36
Radu Drăgușin,ro ROU,DF,23.18,24.2,1166,1105,61,53,2,3,1,3,0,0,0,0,1000,0,6
Guglielmo Vicario,it ITA,GK,28.51,24.0,844,730,114,35,0,0,0,0,0,0,0,0,758,0,1
Lucas Bergvall,se SWE,MF,19.18,22.5,976,925,50,23,2,11,32,10,10,5,3,0,863,1,11
Yves Bissouma,ml MLI,MF,28.61,22.1,1025,973,49,48,3,4,3,1,0,0,0,0,915,3,9
Djed Spence,eng ENG,DF,24.67,20.6,979,836,140,26,3,3,20,114,0,0,0,0,849,3,16
Ben Davies,wls WAL,DF,31.96,18.4,1147,1069,73,19,1,5,5,9,0,0,0,0,1033,5,9
Cristian Romero,ar ARG,DF,26.95,16.8,1234,1135,97,80,4,2,3,3,0,0,0,0,1096,2,7
Fraser Forster,eng ENG,GK,37.07,13.0,354,236,117,31,0,1,0,0,0,0,0,0,303,1,0
Micky van de Ven,nl NED,DF,23.97,12.4,917,872,44,21,0,1,0,4,0,0,0,0,838,1,5
Timo Werner,de GER,"FW,MF",29.10,10.6,326,304,19,2,2,2,45,10,7,1,0,0,222,3,15
Antonín Kinský,cz CZE,GK,22.08,8.3,145,123,22,3,0,0,0,0,0,0,0,0,116,0,1
Mikey Moore,eng ENG,"FW,MF",17.66,7.1,209,199,10,0,1,0,30,2,8,4,0,0,155,0,8
Kevin Danso,at AUT,DF,26.56,6.9,369,355,14,8,0,2,2,0,0,0,0,0,333,0,4
Wilson Odobert,fr FRA,FW,20.36,6.6,224,217,4,0,0,1,14,2,2,0,0,0,179,3,12
Richarlison,br BRA,FW,27.92,6.0,116,113,3,1,0,1,9,0,0,0,0,0,76,0,6
Mathys Tel,fr FRA,FW,19.95,5.5,80,75,5,0,0,1,7,2,0,0,0,0,64,0,2
Brandon Austin,eng ENG,GK,26.25,3.0,83,66,17,4,0,0,0,0,0,0,0,0,68,0,0
Sergio Reguilón,es ESP,DF,28.31,2.7,105,88,16,1,0,0,16,13,2,1,1,0,73,1,4
Will Lankshear,eng ENG,"FW,MF",19.97,1.6,22,20,2,0,0,0,1,0,0,0,0,0,16,0,0
Dane Scarlett,eng ENG,"FW,MF",21.05,0.7,10,10,0,0,0,0,0,0,0,0,0,0,8,0,1
Alfie Dorrington,eng ENG,DF,19.97,0.2,16,16,0,0,0,0,0,0,0,0,0,0,15,0,0
Oyindamola Ajayi,eng ENG,FW,19.28,0.1,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0
Callum Olusesi,eng ENG,MF,18.23,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1
