Player,Nation,Pos,Age,90s,Cmp,Att,Cmp%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP
Pedro Porro,es ESP,DF,25.57,38.3,1704,2276,74.9,29506,11654,863,979,88.2,633,791,80.0,175,382,45.8,7,5.3,5.6,1.7,54,158,62,29,182
Dejan Kulusevski,se SWE,"MF,FW",24.96,33.9,731,993,73.6,10212,3302,445,518,85.9,214,277,77.3,40,94,42.6,10,7.4,5.1,2.6,74,72,64,8,139
Son Heung-min,kr KOR,FW,32.76,33.0,912,1163,78.4,12633,3333,562,626,89.8,255,319,79.9,41,96,42.7,11,9.7,6.2,1.3,60,45,62,7,131
Archie Gray,eng ENG,"DF,MF",19.08,30.6,1328,1490,89.1,23389,7543,491,533,92.1,749,796,94.1,69,118,58.5,0,0.7,1.0,-0.7,9,68,5,2,58
Dominic Solanke,eng ENG,FW,27.57,30.1,297,411,72.3,3849,1036,177,232,76.3,75,97,77.3,13,19,68.4,8,4.4,1.5,3.6,22,33,12,0,54
Brennan Johnson,wls WAL,FW,23.88,29.0,485,684,70.9,6425,1714,291,362,80.4,161,213,75.6,10,31,32.3,3,3.0,2.9,0.0,21,28,34,5,75
James Maddison,eng ENG,MF,28.38,26.6,1216,1494,81.4,19414,5787,590,648,91.0,484,566,85.5,88,183,48.1,8,5.2,7.3,2.8,50,152,37,5,194
Pape Matar Sarr,sn SEN,MF,22.57,25.9,1032,1179,87.5,15834,3696,553,604,91.6,400,439,91.1,50,66,75.8,2,1.7,1.0,0.3,18,107,12,2,97
Rodrigo Bentancur,uy URU,MF,27.79,25.2,1197,1349,88.7,19477,4763,563,619,91.0,546,586,93.2,58,78,74.4,1,0.4,1.5,0.6,10,130,16,2,120
Destiny Udogie,it ITA,DF,22.36,24.4,1110,1259,88.2,16031,5227,629,686,91.7,421,463,90.9,26,32,81.3,1,1.6,1.3,-0.6,19,98,8,1,131
Radu Drăgușin,ro ROU,DF,23.18,24.2,1000,1166,85.8,18747,7316,310,341,90.9,619,670,92.4,57,126,45.2,0,0.4,0.4,-0.4,4,63,3,1,49
Guglielmo Vicario,it ITA,GK,28.51,24.0,758,844,89.8,14883,8868,229,231,99.1,439,450,97.6,83,155,53.5,0,0.0,0.0,0.0,0,1,0,0,1
Lucas Bergvall,se SWE,MF,19.18,22.5,863,976,88.4,14242,2837,422,455,92.7,351,387,90.7,67,89,75.3,2,1.3,1.3,0.7,19,66,16,3,79
Yves Bissouma,ml MLI,MF,28.61,22.1,915,1025,89.3,13783,3770,496,530,93.6,341,368,92.7,40,69,58.0,0,0.3,0.8,-0.3,7,75,11,1,88
Djed Spence,eng ENG,DF,24.67,20.6,849,979,86.7,12004,3404,501,535,93.6,294,337,87.2,25,46,54.3,3,2.0,1.9,1.0,13,70,16,6,90
Ben Davies,wls WAL,DF,31.96,18.4,1033,1147,90.1,19027,7891,373,399,93.5,566,594,95.3,77,120,64.2,0,0.2,0.3,-0.2,4,78,3,0,82
Cristian Romero,ar ARG,DF,26.95,16.8,1096,1234,88.8,20634,8351,366,401,91.3,634,677,93.6,84,132,63.6,0,0.5,1.2,-0.5,6,105,8,1,66
Fraser Forster,eng ENG,GK,37.07,13.0,303,354,85.6,6061,3867,96,97,99.0,163,169,96.4,37,80,46.3,0,0.0,0.0,0.0,0,1,0,0,0
