Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,ShortCmp,ShortAtt,ShortCmp%,MediumCmp,MediumAtt,MediumCmp%,LongCmp,LongAtt,LongCmp%,Ast,xAG,xA,A-xAG,KP,Passes1/3,PPA,CrsPA,PrgP,Touches,Def_Pen,Def_3rd,Mid_3rd,Att_3rd,Att_Pen,Live,TakeonsAtt,Succ,Succ%,Tkld,Tkld%,Carries,CarriesTotDist,CarriesPrgDist,PrgC,Carries1/3,CPA,Mis,Dis,Rec,PrgR,SCA,SCA90,PassLive,PassDead,TO,SCASh,Fld,Def,GCA,GCA90,GCA_TypesPassLive,GCA_TypesPassDead,GCA_TypesTO,GCA_TypesSh,GCA_TypesFld,GCA_TypesDef
Pedro Porro,es ESP,DF,25.57,38.3,2,56,15,26.8,1.46,0.39,0.04,0.13,22.3,4,0,0,2.5,2.5,0.05,-0.5,-0.5,1704,2276,74.9,29506,11654,863,979,88.2,633,791,80,175,382,45.8,7,5.3,5.6,1.7,54,158,62,29,182,2706,164,806,1044,874,47,2706,47,21,44.7,23,48.9,1485,6769,3547,74,53,10,32,20,1592,125,117,3.48,79,19,7,6,5,1,12,0.36,8,3,1,0,0,0
Dejan Kulusevski,se SWE,"MF,FW",24.96,33.9,10,65,26,40,1.91,0.77,0.15,0.38,16.1,0,0,0,4.6,4.6,0.08,3.4,3.4,731,993,73.6,10212,3302,445,518,85.9,214,277,77.3,40,94,42.6,10,7.4,5.1,2.6,74,72,64,8,139,1414,21,172,473,795,174,1414,127,41,32.3,77,60.6,935,6858,3595,136,76,46,98,86,1015,244,145,5.1,109,14,15,4,3,0,13,0.46,11,1,1,0,0,0
Son Heung-min,kr KOR,FW,32.76,33,11,81,33,40.7,2.45,1,0.11,0.27,17.6,2,2,3,9.4,7.1,0.1,0.6,0.9,912,1163,78.4,12633,3333,562,626,89.8,255,319,79.9,41,96,42.7,11,9.7,6.2,1.3,60,45,62,7,131,1438,19,142,460,851,157,1435,120,48,40,56,46.7,968,6091,3179,120,59,59,37,33,1112,340,147,5.15,105,9,18,9,6,0,17,0.6,14,0,0,2,1,0
Archie Gray,eng ENG,"DF,MF",19.08,30.6,0,1,1,100,0.03,0.03,0,0,24.6,0,0,0,0,0,0.02,0,0,1328,1490,89.1,23389,7543,491,533,92.1,749,796,94.1,69,118,58.5,0,0.7,1,-0.7,9,68,5,2,58,1694,203,802,790,117,3,1694,23,11,47.8,10,43.5,1167,5542,2376,15,15,0,14,20,1237,17,14,0.6,13,1,0,0,0,0,1,0.04,1,0,0,0,0,0
Dominic Solanke,eng ENG,FW,27.57,30.1,11,68,29,42.6,2.26,0.96,0.16,0.38,11.8,0,0,0,12.3,12.3,0.19,-3.3,-3.3,297,411,72.3,3849,1036,177,232,76.3,75,97,77.3,13,19,68.4,8,4.4,1.5,3.6,22,33,12,0,54,753,36,84,342,336,127,753,68,24,35.3,41,60.3,446,2460,1046,38,25,19,79,57,522,103,47,1.82,34,0,0,10,2,1,12,0.46,9,0,0,2,1,0
Brennan Johnson,wls WAL,FW,23.88,29,16,74,28,37.8,2.55,0.97,0.22,0.57,12.1,0,0,0,11.3,11.3,0.17,2.7,2.7,485,684,70.9,6425,1714,291,362,80.4,161,213,75.6,10,31,32.3,3,3,2.9,0,21,28,34,5,75,920,21,105,306,521,135,920,52,23,44.2,25,48.1,590,3167,1507,59,24,35,26,20,684,213,51,2.02,33,0,7,6,4,1,8,0.32,6,0,1,0,1,0
James Maddison,eng ENG,MF,28.38,26.6,11,53,24,45.3,1.99,0.9,0.21,0.46,17.3,7,0,0,7,7,0.15,4,4,1216,1494,81.4,19414,5787,590,648,91,484,566,85.5,88,183,48.1,8,5.2,7.3,2.8,50,152,37,5,194,1750,29,255,824,693,101,1750,94,40,42.6,42,44.7,1225,6217,2877,57,47,29,29,31,1335,106,109,4.47,75,14,8,5,7,0,20,0.82,14,1,4,1,0,0
Pape Matar Sarr,sn SEN,MF,22.57,25.9,6,37,18,48.6,1.43,0.69,0.16,0.33,19.9,0,0,0,3.9,3.9,0.11,1.1,1.1,1032,1179,87.5,15834,3696,553,604,91.6,400,439,91.1,50,66,75.8,2,1.7,1,0.3,18,107,12,2,97,1412,43,296,787,354,35,1412,35,13,37.1,19,54.3,933,5475,2272,36,39,7,39,26,1032,67,51,2.33,42,1,2,3,1,2,8,0.37,5,0,1,1,1,0
Rodrigo Bentancur,uy URU,MF,27.79,25.2,2,25,5,20,0.99,0.2,0.08,0.4,17.3,0,0,0,1.4,1.4,0.06,0.6,0.6,1197,1349,88.7,19477,4763,563,619,91,546,586,93.2,58,78,74.4,1,0.4,1.5,0.6,10,130,16,2,120,1621,108,418,954,264,23,1621,31,18,58.1,11,35.5,990,4522,1858,32,28,5,22,24,1069,43,50,2.36,40,0,1,5,1,3,5,0.24,5,0,0,0,0,0
Destiny Udogie,it ITA,DF,22.36,24.4,0,5,1,20,0.2,0.04,0,0,15.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,1110,1259,88.2,16031,5227,629,686,91.7,421,463,90.9,26,32,81.3,1,1.6,1.3,-0.6,19,98,8,1,131,1544,65,431,717,414,57,1544,36,15,41.7,16,44.4,871,4717,2590,61,40,15,39,25,943,111,40,1.74,36,0,1,1,0,2,3,0.13,2,0,0,0,0,1
