Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Team_Success_(xG)On-Off
Pedro Porro,es ESP,DF,25.57,43,3446,80,79.2,38.3,36,91,33,7,26,5,1.39,77,56,+21,+0.55,+0.25,57.0,56.7,+0.2,+0.01,-0.03
Dejan Kulusevski,se SWE,"MF,FW",24.96,42,3055,73,70.2,33.9,31,88,28,11,30,0,1.55,74,51,+23,+0.68,+0.61,50.5,49.7,+0.8,+0.03,+0.05
Son Heung-min,kr KOR,FW,32.76,42,2970,71,68.3,33.0,35,78,16,7,34,0,1.43,67,51,+16,+0.48,-0.04,46.5,47.3,-0.8,-0.03,-0.14
Archie Gray,eng ENG,"DF,MF",19.08,39,2756,71,63.4,30.6,29,91,28,10,12,9,1.66,56,47,+9,+0.29,-0.55,34.4,42.5,-8.2,-0.35,-0.84
Dominic Solanke,eng ENG,FW,27.57,35,2711,77,62.3,30.1,29,88,22,6,27,0,1.51,62,41,+21,+0.70,+0.53,44.7,42.5,+2.2,+0.09,+0.20
Brennan Johnson,wls WAL,FW,23.88,41,2608,64,60.0,29.0,28,76,13,13,37,0,1.53,49,35,+14,+0.48,-0.03,40.8,38.8,+2.0,+0.08,+0.17
James Maddison,eng ENG,MF,28.38,40,2397,60,55.1,26.6,27,77,2,13,24,2,1.42,50,39,+11,+0.41,-0.19,39.1,41.0,-1.9,-0.08,-0.22
Pape Matar Sarr,sn SEN,MF,22.57,44,2335,53,53.7,25.9,26,73,9,18,25,2,1.43,55,38,+17,+0.66,+0.34,35.2,35.4,-0.2,-0.01,-0.04
Rodrigo Bentancur,uy URU,MF,27.79,34,2264,67,52.0,25.2,29,75,12,5,18,1,1.47,33,32,+1,+0.04,-0.95,34.1,29.2,+4.9,+0.23,+0.45
Destiny Udogie,it ITA,DF,22.36,29,2196,76,53.0,24.4,26,78,14,3,53,6,1.42,40,29,+11,+0.45,-0.06,36.5,34.3,+2.2,+0.10,+0.19
Radu Drăgușin,ro ROU,DF,23.18,28,2179,78,50.1,24.2,25,83,20,3,35,7,1.54,43,42,+1,+0.04,-0.91,31.8,39.4,-7.7,-0.40,-0.77
Guglielmo Vicario,it ITA,GK,28.51,24,2160,90,52.2,24.0,24,90,24,0,NULL,3,1.71,47,25,+22,+0.92,+0.92,39.8,31.2,+8.5,+0.37,+0.81
Lucas Bergvall,se SWE,MF,19.18,40,2024,51,46.5,22.5,21,76,10,19,22,8,1.55,44,31,+13,+0.58,+0.15,29.4,31.6,-2.2,-0.12,-0.24
Yves Bissouma,ml MLI,MF,28.61,36,1993,55,45.8,22.1,22,76,8,14,23,6,1.55,46,32,+14,+0.63,+0.25,26.4,31.8,-5.4,-0.31,-0.56
Djed Spence,eng ENG,DF,24.67,26,1858,71,42.7,20.6,19,89,16,7,23,8,1.57,42,32,+10,+0.48,-0.02,24.3,26.6,-2.3,-0.15,-0.26
Ben Davies,wls WAL,DF,31.96,21,1658,79,38.1,18.4,18,88,16,3,25,8,1.95,35,23,+12,+0.65,+0.29,26.8,25.9,+0.9,+0.05,+0.07
Cristian Romero,ar ARG,DF,26.95,19,1512,80,36.5,16.8,19,80,14,0,NULL,2,1.53,32,19,+13,+0.77,+0.47,27.2,19.0,+8.2,+0.51,+0.82
Fraser Forster,eng ENG,GK,37.07,13,1170,90,26.9,13.0,13,90,13,0,NULL,17,1.23,26,25,+1,+0.08,-0.56,19.1,22.8,-3.7,-0.34,-0.48
Micky van de Ven,nl NED,DF,23.97,15,1113,74,26.9,12.4,14,77,8,1,30,5,1.73,27,13,+14,+1.13,+0.89,22.2,14.0,+8.2,+0.67,+0.94
Timo Werner,de GER,"FW,MF",29.10,27,953,35,21.9,10.6,10,67,0,17,17,3,1.41,14,15,-1,-0.09,-0.76,13.9,14.3,-0.4,-0.05,-0.08
Antonín Kinský,cz CZE,GK,22.08,8,750,94,21.7,8.3,8,94,8,0,NULL,7,1.13,11,13,-2,-0.24,-0.81,3.8,6.9,-3.1,-0.77,-0.88
Mikey Moore,eng ENG,"FW,MF",17.66,16,637,40,14.6,7.1,7,69,2,9,17,10,1.88,11,5,+6,+0.85,+0.41,8.1,5.3,+2.9,+0.52,+0.59
Kevin Danso,at AUT,DF,26.56,7,617,88,14.2,6.9,7,88,6,0,NULL,0,1.00,8,11,-3,-0.44,-1.09,6.8,8.2,-1.4,-0.29,-0.34
Wilson Odobert,fr FRA,FW,20.36,14,591,42,14.3,6.6,7,64,1,7,20,0,1.57,11,9,+2,+0.30,-0.20,9.2,8.8,+0.5,+0.08,+0.07
Richarlison,br BRA,FW,27.92,14,543,39,13.1,6.0,6,62,0,8,21,1,1.78,12,3,+9,+1.49,+1.17,9.1,6.4,+2.6,+0.49,+0.55
Mathys Tel,fr FRA,FW,19.95,9,493,55,11.3,5.5,6,73,2,3,18,2,1.00,5,9,-4,-0.73,-1.38,6.2,7.0,-0.8,-0.20,-0.23
