Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Pedro Porro,es ESP,DF,25.57,38.3,2,56,15,26.8,1.46,0.39,0.04,0.13,22.3,4,0,0,2.5,2.5,0.05,-0.5,-0.5
Dejan Kulusevski,se SWE,"MF,FW",24.96,33.9,10,65,26,40.0,1.91,0.77,0.15,0.38,16.1,0,0,0,4.6,4.6,0.08,3.4,3.4
Son Heung-min,kr KOR,FW,32.76,33.0,11,81,33,40.7,2.45,1.0,0.11,0.27,17.6,2,2,3,9.4,7.1,0.1,0.6,0.9
Archie Gray,eng ENG,"DF,MF",19.08,30.6,0,1,1,100.0,0.03,0.03,0.0,0.0,24.6,0,0,0,0.0,0.0,0.02,0.0,0.0
Dominic Solanke,eng ENG,FW,27.57,30.1,11,68,29,42.6,2.26,0.96,0.16,0.38,11.8,0,0,0,12.3,12.3,0.19,-3.3,-3.3
Brennan Johnson,wls WAL,FW,23.88,29.0,16,74,28,37.8,2.55,0.97,0.22,0.57,12.1,0,0,0,11.3,11.3,0.17,2.7,2.7
James Maddison,eng ENG,MF,28.38,26.6,11,53,24,45.3,1.99,0.9,0.21,0.46,17.3,7,0,0,7.0,7.0,0.15,4.0,4.0
Pape Matar Sarr,sn SEN,MF,22.57,25.9,6,37,18,48.6,1.43,0.69,0.16,0.33,19.9,0,0,0,3.9,3.9,0.11,1.1,1.1
Rodrigo Bentancur,uy URU,MF,27.79,25.2,2,25,5,20.0,0.99,0.2,0.08,0.4,17.3,0,0,0,1.4,1.4,0.06,0.6,0.6
Destiny Udogie,it ITA,DF,22.36,24.4,0,5,1,20.0,0.2,0.04,0.0,0.0,15.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Radu Drăgușin,ro ROU,DF,23.18,24.2,0,6,2,33.3,0.25,0.08,0.0,0.0,12.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
Guglielmo Vicario,it ITA,GK,28.51,24.0,0,0,0,NULL,0.0,0.0,NULL,NULL,NULL,0,0,0,0.0,0.0,NULL,0.0,0.0
Lucas Bergvall,se SWE,MF,19.18,22.5,1,22,6,27.3,0.98,0.27,0.05,0.17,20.2,0,0,0,1.3,1.3,0.07,-1.3,-1.3
Yves Bissouma,ml MLI,MF,28.61,22.1,2,12,3,25.0,0.54,0.14,0.17,0.67,22.8,0,0,0,0.6,0.6,0.06,1.4,1.4
Djed Spence,eng ENG,DF,24.67,20.6,2,12,5,41.7,0.58,0.24,0.17,0.4,22.9,0,0,0,0.5,0.5,0.06,0.5,0.5
Ben Davies,wls WAL,DF,31.96,18.4,0,9,3,33.3,0.49,0.16,0.0,0.0,15.3,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Cristian Romero,ar ARG,DF,26.95,16.8,1,15,8,53.3,0.89,0.48,0.07,0.13,9.6,0,0,0,1.4,1.4,0.09,-0.4,-0.4
Fraser Forster,eng ENG,GK,37.07,13.0,0,0,0,NULL,0.0,0.0,NULL,NULL,NULL,0,0,0,0.0,0.0,NULL,0.0,0.0
Micky van de Ven,nl NED,DF,23.97,12.4,0,7,2,28.6,0.57,0.16,0.0,0.0,14.1,0,0,0,0.6,0.6,0.08,-0.6,-0.6
Timo Werner,de GER,"FW,MF",29.10,10.6,1,23,9,39.1,2.17,0.85,0.04,0.11,16.2,0,0,0,1.5,1.5,0.1,-1.5,-1.5
